"","id","tweet"
"2",115800,"@united please get your act together at ORD baggage claim.  As a loyal Mileage Plus member, I expect more and am consistently disappointed"
"6",115805,"Finally home, praising God that my family is safe-20 hours later &amp; lost luggage-1st &amp; last time flying @AmericanAir http://t.co/8zPH2WNNx7"
"94",115900,"@united are you going to hire more ground crew? staff at EWR says 45 min is the wait for bags because they don't have enough ground crew."
"117",115925,"@AlaskaAir Flight 850 was a pleasant one today but bags were a little slow. How do I use baggage guarantee?"
"143",115952,"I'd like to fly to New Orleans and work to repair the shorelines and habitats along the gulf coast.  Still oil. @JetBlue #FlyingItForward"
"195",116005,"Two days with no luck on hold to change my flight. Can someone help a girl out? @Delta @DeltaAssist  Meanwhile, #airfaregoingup"
"240",116055,"I hope @JetBlue 's free Wifi ""beta"" period never ends...  http://t.co/Crw4wE8NqE #2MA"
"241",116056,"@AlaskaAir NOT cool when you don't get us home from Seattle!"
"251",116066,"@United 612 BOS-EWR 40 minute flight, 49 minutes waiting for bags to come out. Can we do any better?"
"275",116091,"I liked @united better when it was Continental. Their customer service sucks."
"333",116150,"@egrattan @katiahetter @CNNTravel @united I'll do my best to make sure my baby doesn't kick you but that's about all that's needed"
"356",116175,"@Delta @DeltaAssist No WiFi at SCL Sky Club today!? That's the main reason we bought a 1 day pass. So much for those important emails :-("
"452",116276,"@JeromeASF @united Pssst I prefer @Delta  you need to switch flyers man ðŸ˜‚"
"454",116278,"@VirginAmerica Problem Solved. Luggage Received. Your DM assistance helped tremendously. Much Thanks."
"667",116504,"@kristen @united I will never fly United again for this. Anachronisms like this should be rooted out."
"771",116615,"LOL just spent more time waiting on the tarmac than the length of my flight. I think it's hilarious.  @united #butimsohungry"
"816",116661,"@mikespins That's awesome. LOVE flying @VirginAmerica. Can't wait to try a Virgin hotel property."
"824",116669,"Hey @AmericanAir able to book @USAirways award travel w/your cust serv yet? Rec'd ""call back later"" msg for 4 days now. #customerservicefail"
"841",116687,"@zachmcnair @VirginAmerica And after this, you'll never want to fly another airline again. Enjoy your trip!"
"872",116720,"As someone who works in the travel industry, I support @kristen. Glad to hear @united is taking the complaint seriously."
"962",116816,"@JetBlue The ""fun"" of flying with you continues. I can't wait until I have your customer service on the phone tonight after this trip."
"982",116838,"Dear God I love @jetblue. Great movies and service #best. Never again @amerianair. #worst."
"1008",116865,"Two emails starting four weeks ago and STILL no response! @Delta @DeltaAssist must really not care about their customers, even if Gold."
"1032",116889,"Again @united screws customers. You spend almost $10k on trips with @united and only receive $1800 toward premier status."
"1064",116922,"@kristen @united When shit like this happens, take your smart phone and start recording; if you make a big enough deal, they may settle."
