"","id","tid","airline","rtag","tweet"
"1",115799,575174768975945728,"United","vK!c7m35.Iav","@DaveCarroll @united I wasn't able to get on that flight and had to sleep in the airport and missed a day of my spring break but it's okay"
"2",115800,575177399706480640,"United","vK!c7m35.Iav","@united please get your act together at ORD baggage claim.  As a loyal Mileage Plus member, I expect more and am consistently disappointed"
"3",115802,575183345501536256,"United","vK!c7m35.Iav","If the flight is late and I'm stuck on the plane, seems like the least @united could do is roll out the drink carts with some alcohol"
"4",115803,575184001553428480,"United","vK!c7m35.Iav","@united how can you get so many complaints about lost luggage? This is such bullshit. Still furious 10 days later. No answersðŸ˜¡"
"5",115804,575185512027258880,"Delta","vK!c7m35.Iav","@DeltaAssist yo Delta how do you mess literally everything up? youre killin me here"
"6",115805,575187654574112768,"American","vK!c7m35.Iav","Finally home, praising God that my family is safe-20 hours later &amp; lost luggage-1st &amp; last time flying @AmericanAir http://t.co/8zPH2WNNx7"
"7",115806,575192129716285440,"VirginAmerica","vK!c7m35.Iav","Thanks @VirginAmerica for not informing me that my seat wouldn't recline this flight. And for giving me one of the many empty seats. Not."
"8",115807,575193904653299712,"AlaskaAir","vK!c7m35.Iav","@AlaskaAir trying to rebook a ticket and the site keeps kicking me off during purchases. frustrated here. Is something wrong with the site?"
"9",115808,575196528475791360,"Delta","vK!c7m35.Iav","Props to @Delta and @DeltaAssist for getting me on a new flight if I miss my NRT connection. Oh, and decent trans-Pacific wifi too."
"10",115810,575198350057717760,"JetBlue","vK!c7m35.Iav","@JetBlue please help! Deserving couple with defect will no longer be able to travel soon. Please send them on a dream vacation! #letlaceyfly"
"11",115811,575198508103245824,"SouthWest","vK!c7m35.Iav","@SouthwestAir please help! Deserving couple with brain defect will no longer be able to travel soon. Please send them on a dream vacation!"
"12",115812,575198770624753664,"American","vK!c7m35.Iav","@AmericanAir please help! Deserving couple with brain defect will no longer be able to travel soon. Please send them on a dream vacation!"
"13",115813,575200529439068160,"United","vK!c7m35.Iav","@united you're a little late in your response.quite disappointed in the whole experience today"
